question,answer
"In which country are the Angel Falls, the highest waterfall in the world?",Venezuela
"The 1955 comedy movie We're No Angels centred on three escaped convicts. Peter Ustinov and Aldo Ray were two, but who played the third?",Humphrey Bogart
Who played King Arthur in the 1967 musical film Camelot?,Richard Harris
Which country grows the largest number of mangoes?,India
Ecuador has a border with Peru and which other country ?,Colombia
"In 2009, who was convicted of the murder of Lana Clarkson?",Phil Spector
"The left side of the heart pumps blood to all parts of the body, but the right side pumps blood to which organ in particular?",The lungs
Which cartoon character lives in a pineapple under the sea?,SpongeBob SquarePants
"Which serial killer hanged himself in Wakefield Prison in January 2004, four years after being found guilty of 15 murders?",Dr Harold Shipman
What public school did the Duke of Edinburgh and Prince Charles attend?,Gordonston
"If it was Phil Mickelson in 2006, Zach Johnson in 2007, and Trevor Immelman in 2008, who was it in 2009?",Angel Cabrera
Red Stripe lager comes from which country?,Jamaica
Which architect was known as the Wizard of the Dome?,Buckminster Fuller
What is the name of the Salvador Dali painting that shows clocks oozing over a landscape?,The Persistence Of Memory
In what year did Edward Vlll abdicate?,1936
Which well known couple live at Bagshot Park in Surrey?,The Earl and Countess of Wessex
Which notorious murderer lived at 10 Rillington Place?,John Christie
Who killed Lee harvey Oswald?,Jack Ruby
Who killed Robert F Kennedy?,Sirhan Sirhan
Who killed Jean Paul Marat?,Charlotte Corday
What was the name of the kangaroo often mistaken by Sylvester the cat to be a giant mouse?,Hippety Hopper
Gjetost is the national cheese of which country?,Norway
A youngberry is a cross between a dewberry and what else?,A blackberry
Who is Arthur Wellesley better known as?,Duke of Wellington
Which town in East Sussex now stands on the site of the battle of Hastings?,Battle
"Which 1986 Peter Weir movie and based on a Paul Theroux novel starred Harrison Ford, Helen Mirren and River Phoenix?",The Mosquito Coast
What is the name of CS Lewis' 7 book fantasy?,The Chronicles of Narnia
Name the tv series about FBI agent Don Eppes and his mathematical genius brother Charlie,Numb3rs
All children except one grow up.,Peter Pan
"Scarlett O'Hara was not beautiful, but men seldom realised it when caught by her charm as the Tarleton twins were",Gone with the wind
Which horse racing jockey was sometimes referred to as the long fellow?,Lester Piggott
Who is the patron saint of lost causes?,St Jude
True or False: Sharks do not blink?,True
Which `B` was the name of the mechanical shark used in the original `Jaws` film?,Bruce
"The American legal drama Shark ran from Sept 06 to May 08. Who starred in the title role, playing Sebastian Stark?",James Woods
Which Italian fashion designer was shot dead on the steps of his Miami mansion in 1997?,Gianni Versace
Who was famous for popularising the 'little black dress' in the 1920s?,Coco Chanel
Who designed Madonna's wedding dress for her marriage to Guy Ritchie?,Stella McCartney
"Meryl Streep's character, Miranda, in the 2006 film The Devil Wears Prada was based on the editor-in-chief of which fashion magazine?",Vogue
"In the TV show Camberwick Green, who lived in Colly's Mill?",Windy Miller
Which part of the human body produces insulin?,The pancreas
Who played Dr. Doug Ross on the TV show E.R.?,George Clooney
Who played the role of Kate Flax in the 1990 film Mermaids?,Christina Ricci
Who played the character Mrs. Merton on TV?,Caroline Aherne
What nationality was three time Olympic gold medallist in figure skating Sonja Henie?,Norwegian
At which Winter Olympic host city would you find the Cresta Run?,St. Moritz
What kind of an animal is a wireworm?,A Beetle
What are the flat treeless plains of Argentina called?,The Pampas
Which Canadian born  actress was the star in the movie Barb Wire?,Pamela Anderson
"Which 2004 ""puppet"" movie, made by the makers of South Park, satirises Americas politics and jingoism?",Team America: World Police.
"Which river originates in the Taurus Mountains, and flows through Syria and Iraq?",Euphrates
"Following success at the 1979 election whose party conference speeech included the lines 'you turn if you want to, the lady's not for turning'?",Margaret Thatcher
"In the run up to the 1997 election, Tony Blair outlined his parties' three priorities for office, can you name them?","Education, Education, Education"
Which snooker player was simply known as 'The Grinder'?,Cliff Thorburn
Which former West Indian fast bowler was known as 'Whispering Death'?,Michael Holding
Which Eastenders character had a dog called Willy?,Ethel Skinner
In which year did the first episode of Minder take place?,1979
What was the name of the cat in Rising Damp?,Vienna
"Which comedy written by Johnny Speight which first aired in 1965, featured a fervent West Ham supporter?",Till Death Us Do Part
"What was the name of the comedy written by Ray Galton, Alan Simpson which aired 57 episodes?",Steptoe and Son
Bonar Law is the only Prime Minister not born in the UK. In which country was he born?,Canada
Who lives in the Hundred Acre Wood?,Winnie-the-Pooh
"If you heard the catchphrase ""They're great"" what would expect to be advertised?",Frosties
How many times was Boris Becker runner-up in the Men's Singles at Wimbledon?,4
How many times did Steffi Graf win the Ladies Singles at Wimbledon?,7
"In which postcode area are the Wimbledon Championships held? SW15, SW17 or SW19?",SW19
Who did Top of the Pops mistakenly portray in a Dexys Midnight Runners song?,Jocky Wilson
What story introduced the Cybermen?,The Tenth Planet
Who played the tenth Doctor?,David Tennant
"How many Rings of Power were there, in total?",20
Which common colour can also be known as heliotrope?,Purple
Which golf shot is the opposite of a slice?,Hook
Which actress left Eastenders for Hollywood only to flop as The Bionic Woman?,Michelle Ryan
"In Only Fools And Horses, Rodney Trotter shares his middle name with which London football club?",Charlton
"How were Dr Stantz, Dr Spengler and Dr Venkman better known in the 1980's?",Ghostbusters
General Charles de Gaulle was French President 1959 to 1969. Who succeeded him?,Georges Pompidou
"When Mr Benn was looking for an adventure, what type of shop did he visit?",A fancy dress shop
"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?",Rennet.
Which cheese shares its name with a Guiness Premiership rugby team that play at Welford Road?,Leicester.
Where in London were the first escalators installed in 1898?,Harrods
"In what year was the first episode of Doctor Who broadcast? 1959, 1963 or 1967?",1963
What is the name of the company that owned the spaceship Red Dwarf?,The Jupiter Mining Corporation
"Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, David Hedison, John Terry, David Hedison and Jeffrey Wright?",A) Felix Leiter
Name the magician who first introduced us to Basil Brush.,David Nixon
Who was the only Prime Minister of Britain to be assassinated?,Spencer Percival
What is the name of the chain of islands in the southwestern Philippines?,The Sulu Archipelago
What was the name of the ferry that capsized after leaving Zeebrugge in 1987,The Herald of free Enterprise
The Flying Pickets were a British vocal group who had Christmas no1 hit in 1983. What was the title of the song.,Only You
"In Risk, what colour is Europe?",Blue
Which British band named themselves after a South African football team?,Kaiser Chiefs
How many female P.Ms have there been?,One
"Newspapers come is various sizes, broadsheet being the largest, and tabloid being smaller, but what name is given to the smallest size.",Compact
Which wedding anniversary is celebrated with paper,1st
"Which American female rap artist, film & television actress release a song called Paper in 1998",Queen Latifah
Who won the 2010 Giro D'Italia?,Ivan Basso
"In the Commonwealth games in Delhi, which British athlete won the mens 200m gold medal?",Leon Baptiste
"Which singer picked up three Ivor Novello awards in May, including songwriter of the year for her hit single, The Fear?",Lily Allen
Which American singer was born Eleanora Fagan?,Billie Holiday
Which famous woman in history had a cottage in Shottery in Warwickshire?,Anne Hathaway
Who sang the theme song for the TV show 'Rawhide'?,Frankie Laine
Which sea lies between Italy and the former Yugoslavia?,Adriatic
In which country is the region Dalmatia?,Croatia
Who was known as the Great Lover of the Silent Screen?,Rudolf Valentino
"Which actor plays Cate Blanchett's father in the 2004 film ""The Missing"", a story set in 19th century New Mexico where the father works with estranged daughter Blanchett to get her kidnapped child back?",Tommy Lee Jones
How is Frances Gumm the actress better known?,Judy Garland
"Who won the Best Actress Oscar for the 1988 film, The Accused?",Jodie Foster
"Which  constellation contains many bright shining stars, such as Regulus?",Leo.
"Which London river, now flowing underground, rises in Hampstead, flows through St. Pancras, down Farringdon Street and enters the Thames by Blackfriars Bridge?",River Fleet
-Day in 1944 was the greatest sea-bourn invasion in history. What was the code name for the operation?,Operation Overlord
On which island are the Cuillin Hills?,The Isle of Skye
"Which dancer has only one notable film cameo, appearing with Sean Connery in the 1979 movie The First Great Train Robbery, breaking into a guarded station office.",Wayne Sleep
What was the first name of the character played by John Travolta in Saturday Night Fever.,Tony (Manero).
In which 1969 movie did Michael Caine appear with his brother Stanley.,The Italian Job
"In 1969, a man was stabbed to death by a member of the Hell's Angels at a Rolling Stones concert. Where was the concert held?",Altamont
"How long does it take, approximately, for light to travel from the Sun to the Earth?",About 8 minutes
"A Long Island Iced Tea is a cocktail based on vodka, gin, tequila, and which other spirit?",Rum
Anellini pasta is what type of shape?,Rings
A Cuba Libre is based on which spirit,Rum
Which company were responsible for the production of the Spitfire?,Supermarine
"The lyric Always sunny in a rich man's world', is from which song?","Money, Money, Money"
Who won the men's singles title at Wimbledon in 1987?,Pat Cash
Who made Victor Krum's wand?,Gregorovitch
What kind of creature is Firenze?,Centaur
What building in Scotland is said to house the Holy Grail and features prominently at the end of The Da Vinci Code?,Rosslyn Chapel
In which sitcom did Penelope Wilton play the wife of Richard Briers?,Ever Decreasing Circles
Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks
"Which cockney private detective, co-created by Terry Venables, was portrayed on TV by Nicholas Ball?",James Hazell
Who in 1975 became the first black man to win a Wimbledon singles title?,Arthur Ashe
Which South African fast bowler had the nickname White Lightning,Allan Donald
"In 1953, Edmund Hillary was half of the famous pair to first do what?",Climb Everest
Another name for the Holy Wars between the  Christian states of Europe against the Saracens,Crusades
1986 film starring Goldie Hawn as a High School football coach.,Wildcats
"Who was the 16th president of the U.S.A.,assasinated in 1865",Abraham LINCOLN
"Which Italian explorer had ships named Nina, Pinta and Santa Maria?",Christopher COLUMBUS
Who had chart hits which included Annie`s Song and Rocky Mountain High?,John DENVER
"Which cartoon series featured the characters Lion-o, Cheetera, Tygra and Snarf/",Thundercats.
"Who was the leader of the gang whose members included Benny the Ball ,Brain and Choo Choo?",Top Cat.
Which famous resident resides at Highgrove House?,The Prince of Wales
What is the currency of India?,Rupee
How many avenues radiate from the Arc de Triomphe?,12
In which country is Dubrovnik?,Croatia
"The Dakar Rally (previously known as the Paris Dakar rally) is an annual event, but of which country is Dakar the capital city?",Senegal
The Miller Brewing Company got its start in what U.S. city?,"Milwaukee, Wisconsin"
Who did Simple Simon meet on his way to the fair?,The Pie man.
Which cartoon strip character first appeared in The Beano in 1951?,Dennis the Menace.
"The Asian Tsunami or Boxing day tsunami that hit Thailand, Indonesia and many other countries happened in what year?",2004
"Following that year's April Budget, Alderman Sir Cuthbert Ackroyd, who later became Lord Mayor of London, bought the first what on 1 November 1956?",Premium Bond
"Produced between 1970 and 1974, what is a Bond Bug?",Car
What was Jacques Cousteau's mobile oceonagraphic laboratory.,Calypso
What is the name of the helicopter used to transport the President of the United States,Marine One
Which queen consort of England is associated with Hever Castle in Kent?,Anne Boleyn
What was the capital of the United States between 1785 and 1790??,New York
Which country does the drink Cinzano come from?,Italy
Which fictional girls' boarding school was created by the cartoonist Ronald Searle,St. Trinians
Who played the character Mr Chips in the 2002 TV adaptation of Goodbye Mr Chips,Martin Clunes
Rarely is the question asked: Is our children learning?,George W Bush
"Are you going to come quietly, or do I have to use earplugs?",Spike Milligan
Which shipping forecast area is directly north of German Bight?,Fisher
By what name did Samuel Langhorne Clemens publish his novels under?,Mark Twain
Who wrote the novel Rasselas in a single week in 1759 to pay for his mother's funeral?,Samuel Johnson
Who painted Girl with a Pearl Earring?,Johannes Vermeer
What is 1009 when expressed as Roman Numerals?,MIX
Who had hits with Go Now and Nights in White Satin?,Moody Blues
Which statesman was known as the Iron Chancellor?,Otto Van Bismark
What was left in Pandora's Box after all the evil escaped?,Hope
What type of bird was the first released by Noah?,Raven
What is the state capital of Florida?,Tallahassee
Who was sacked as the Beatles' drummer and replaced by Ringo Starr?,Pete Best
In which is Shakespeare's plays are the title character's last words the rest is silence?,Hamlet
"Tsar Nicholas I abidacated in 1917, who was the other monarch to abdicate during this period?",Constantine I of Greece
"Which Roman Emperor was allegedy killed by his wife, Aggripina, in AD54?",Claudius
Whose last words were Et Tu Brute according to Shakespeare?,Julius Ceasar
Mel Gibson (1990) and Kenneth Branagh (1996) have both played which character in movies?,Hamlet
"The original United Artists film studio was founded in 1919 by D.W. Griffith, Mary Pickford, Douglas Fairbanks and who else?",Charlie Chaplin
Which Holiday movie favourite featured a character called Kevin McCallister?,Home Alone
Who was the author of Pygmalion'?,George Bernard Shaw
"Who was the third President of the USA, following on from George Washington and John Adams was also famed for his numerous inventions?",Thomas Jefferson
What is the minimum age of someone running for the office of President of the United States?,35 years of age
England won the 1966 World Cup beating Germany 4-2. Hurst scored 3 of England's goals who scored the other?,Martin Peters
From which 1960s sci-fi movie did 1980s pop sensation Duran Duran take their name from a character from the movie?,Barbarella
What year did E.T. Hit the cinema screen?,1982
The Red Sea is connected to the Indian Ocean by which gulf ?,Gulf of Aden.
The Red Setter is more properly known by which name?,The Irish Setter.
What was the name of the World War I fighter ace nicknamed the Red Baron?,Manfred von Richtofen.
What is the capital of the U.S. state of Connecticut?,Hartford.
What was founded by Ferdinand II of Aragon and Isabella I of Castile to keep Catholic orthodoxy as the major religion of their kingdoms?,Spanish Inquisition
"In golf, what name is given to a score of three under par on a given hole?",Albatross
"In dentistry, what is the name given to hardened dental plaque?",TARTAR.
Which singer played the Goblin King Jareth in the film Labyrinth'?,David Bowie
Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,Tina Turner
"Name the fantasy movie directed by Terry Gilliam, where 6 dwarves have stolen a map.",Time Bandits
"Which TV comedy had characters McLaren, Blanco & Warren",Porridge
In which TV series would you find an Eagle Transporter,Space 1999
Which jazz saxophonist was nicknamed Bird,Charlie Parker
Which patriotic Irving Berlin song includes the line  From the mountains to the prairie to the oceans white with foam ?,God Bless AMERICA.
Who created the Miss World pageant?,Eric Morley.
In Egyptian myth who was the God of chaos and disorder?,Seth
What type of creature is a Painted Dragon?,Lizard.
Which method of painting consists of applying pigment to wet plaster?,Fresco.
Who is credited with the discovery of the tomb of King Tutankhamen in 1922?,Howard Carter
The King of Wishful Thinking was a hit song used during the opening credits of the movie Pretty Woman. Who sang it?,Go West
"What dish, especially popular in parts of Wales and the English Midlands,  is traditionally made from pig's heart, liver and fatty belly meat or bacon minced together, with herbs added for flavouring and sometimes bread crumbs",Faggots
What was the name of Shari Lewis' sassy sock puppet?,Lamb Chop.
Captain Corelli's mandolin is a book a film set in which country,Greece
The Bull is the village pub in an everyday tale of country folk. In which village is The Bull?,Ambridge
What is the second biggest city in the UK?,Birmingham
Who was the second wife of Henry VIII?,Anne Boleyn
Which actor does the interviewing in 'Interview with a Vampire'?,Christian Slater
What is the southernmost city in USA,Honolulu
"In Vladimir Nabokov's book ""Lolita"", what is Lolita's real name?",Dolores HAZE
"Which Shakespeare play tells the story of Prospero, the rightful Duke of Milan?",The TEMPEST
Which RAF fighter-bomber was built by the Panavia partnership?,The TORNADO
What was the name of the sixth studio album released by Prince and the Revolution in June of 1984?,Purple RAIN
The undersurface of a person's foot or of a shoe?,Sole
In which film series would you expect to film Katniss Everdeen and Peeta Malark?,The Hunger Games
"""Rodney you plonka"" and ""This time next year we'll be millionaires"" are catchphrases from which well-known television sitcom?",Only Fools and Horses
What did my true love bring to me on the Sixth Day of Christmas?,Six Geese-A-Laying
Louis Smith won an individual silver medal in gymnastics at the 2012 London Olympics. For what discipline?,Pommel Horse
What animal did Reggie Perrin think of every time his Mother-in-law was mentioned?,A Hippopotamus.
Which former prime minister appeared on the Morecambe and Wise Christmas Special in 1978?,Harold Wilson
"Where does the infamous ""Streif"" downhill ski race take place?",Kitzbühel
What song was a hit for Tom Jones and Cerys Matthews in 1999?,Baby it's cold outside
How many lines are there in a sonnet?,14
What is the American version of Strictly Come Dancing called?,Dancing With The Stars
What is the lightest metal under standard conditions?,Lithium
What artist designed the logo for Chupa Chups lollipops?,Salvador Dali
"What is being built in the Olympic Park, that will be the world's longest and tallest of its kind?",A slide
In the 'Jungle Book' what type of creature was 'Bagheera'?,Panther
What was the first Beatles film?,A Hard Day's Night
What was the name of the Liverpool nightclub where the Beatles regularly played?,The Cavern
How many US states are prefixed by the word New?,4
"Although he never won an Oscar for best director, one of Hitchcock's films did win an Oscar for best picture. What was the film?",Rebecca
In which New York borough would you find Hell’s Kitchen?,Manhattan
Which airline is nicknamed ‘The Flying Kangaroo’?,QANTAS
Which cartoon character had the maiden name ‘Slaghoople’?,Wilma Flintstone
‘Think Different’ is an advertising slogan for which company?,Apple (computers)
Which ‘A’ is a calculating frame with sliding balls on wires?,Abacus
The rowan tree is also known as the Mountain ‘what’?,Ash
Which ‘A’ means in the open air?,Al fresco
Buenos Aires is the capital of which South American country?,Argentina
Apiculture is the raising and care of which creatures?,Bees
What is the capital of Indonesia?,Jakarta
Which vegetable was the first to be canned?,Peas
"In computers, the X-Y Position Indicator for a Display System is now known as what?",Cursor
The Khyber Pass is approximately how many miles long?,33 Miles
"Which fruit did Nell Gwynn, mistress of King Charles II, sell in Drury Lane?",Oranges
The town of Tobermory is on which Scottish island?,Mull
"In the novel ‘Wuthering Heights’ by Emily Bronte, Catherine’s father found Heathcliffe on the streets of which English city?",Liverpool
Which Asian country hosted its first Formula One Grand Prix motor race in October 2010?,South Korea
"In UK currency, how many sides does a twenty pence piece have?",Seven
"In humans, otalgia, is the medical term for what?",Earache
"British MP, Diane Abbott, learned to play which musical instrument in the tv series ‘Play It Again’?",Piano
Cristina Fernandez de Kirchner became President of which South American country in December 2007?,Argentina
"In Greek mythology, what was the name of the nymph who fell in love with Narcissus, but who was said to have pined away when her love was not returned, leaving only her voice?",Echo
The Marquesas Islands lie in which ocean?,Pacific
Keflavik is the main international airport of which country?,Iceland
Which British artist’s works include ‘The First Real Target’?,Peter Blake
Which King of England sold Dunkirk to Louis XIV of France?,Charles II
What was the middle name of US actor James Dean?,Byron
Which French author wrote the fairy tales ‘Little Red Riding Hood’ ‘Sleeping Beauty’ and ‘Puss in Boots’?,Charles Perrault
Author J.R.R. Tolkien was born in which country?,South Africa
The pilgrim route to Santiago de Compostela in Northern Spain is known as the ‘Way’ of which saint?,Saint James
Peter O’Sullevan was a BBC commentator for which sport?,Horse racing
Who was the first Hanover King of England?,George I
Which group released an album in 1986 entitled ‘The Queen is Dead’?,The Smiths
Which British Prime Minister said of Downing Street ‘One of the most precious jewels in the national heritage’?,Margaret Thatcher
Antigonus is a character in which Shakespeare play?,The Winter’s Tale
Which British monarch famously said ‘I don’t wish to open windows into men’s souls’?,Queen Elizabeth I
Which bodily fluid is collected in a lachrymatory?,Tears
Which British singer played Jareth the Goblin King in the 1986 film ‘Labyrinth’?,David Bowie
Golfer Ernie Els was born in which country?,South Africa
Aconcagua is the highest mountain in which mountain range?,Andes
The 1987 film ‘Cry Freedom’ is a biographical drama about which South African civil rights leader?,Steve Biko
Which British actress played Valerie in the 1997 film ‘Nil By Mouth’?,Kathy Burke
"What was the name of the Brazilian player who won the Women’s Singles Finals at Wimbledon in 1959, 1960 and 1964?",Maria Bueno
"Apart from English, what is the official language of Canada?",French
What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,Mallard
Singer and musician Bono called which venue ‘Rock and roll’s great cathedral’?,Madison Square Garden
What type of creature is a bufflehead?,Duck
The 1950’s Mau Mau uprising was against the British occupation of which country?,Kenya
What is a positively charged ion called?,Cation
Which 5th/6th Century Buddhist monk is described in Chinese texts as ‘The Blue-Eyed Barbarian’?,Bodhidharma
In which part of the human body is the limbic system?,Brain
Which year saw the only hijacking of a British commercial flight?,1970
What was the name of the Cunard ocean liner which was launched on 20th September 1906?,Mauretania
Which European city had the world’s first birth control clinic?,Amsterdam
In which James Bond film does actress Jane Seymour play Solitaire?,Live and Let Die
What type of creature is a tanager?,Bird
"In ‘Follow That Camel’, the fourteenth Carry On film, Sid James was replaced by which US actor?",Phil Silvers
"A mahout is a person who works, tends and rides which animal?",Elephant
How many medals did the United States win at the 2010 Winter Olympics?,37
‘The Weeping Woman’ is the work of which artist?,Pablo Picasso
The Koppen System is a classification system for what?,Climate
"In humans, a hemispherectomy is the removal of half of the what?",Brain
"In Greek mythology, Tiresias disclosed the crimes of who?",Oedipus
The United Nations University is based in which Asian city?,Tokyo
What is the name of the iron hook which is attached to the pole used by fisherman to land a heavy fish?,Gaff
Which English singer/songwriter/musician wrote the Tremeloes hit ‘Here Comes My Baby’ at the age of eighteen?,Cat Stevens
Mearth was the name of the child of which US tv characters?,Mork and Mindy
In which state of the US is it illegal to mis-pronounce the name of the state?,Arkansas
The Strawberry Museum in the town of Wepion is in which country?,Belgium
The Hotel Matignon is the official residence of the Prime Minister of which European country?,France
Which British politician became Member of Parliament for Epping in October 1924?,Winston Churchill
‘The Crafty Cockney’ was the nickname of which British darts player?,Eric Bristow
Which famous jewellers makes the Super Bowl Trophy?,Tiffany & Co.
"Bedloe’s Island in New York Harbour, is the former name of which island?",Liberty Island
What is the name of the Jewish spring festival which celebrates the exodus of the Israelites from Egypt?,Passover
Sadler’s Wells Ballet and the Vic-Wells Ballet were the previous names of which British ballet company?,The Royal Ballet
The roller coaster ride called Rita is located at which English theme park?,Alton Towers
Which is the first written single word number in which the letter ‘A’ appears?,Thousand
In which year did Margaret Thatcher become British Prime Minister?,1979
"In January 1957, Russell Endean became the first batsman to be dismissed from a test cricket match for doing what?",Handling the ball
What type of animal is a dik-dik?,Antelope
"Isoprene, Butyl and Nitrile are all types of which substance?",Rubber
Taka is the basic monetary unit of which country?,Bangladesh
Who does Emilio Estevez play in the 1988 film ‘Young Guns’?,Billy the Kid
Which Mediterranean island gained independence in 1959 under the presidency of Archbishop Makarios?,Cyprus
"In medicine, chromotopsia is the term for abnormally coloured what?",Vision
Wanlockhead is the highest village in which European country?,Scotland
Which European country hosted the 1956 Winter Olympic Games?,Italy
‘Lofsongur’ is the national anthem of which country?,Iceland
"In Roman mythology, what was the name of the brother slain by Romulus?",Remus
"In 1951, which European country saw the abdication of King Leopold lll in favour of his son Baudouin?",Belgium
In medicine the MMR vaccination gives protection against which diseases?,"Measles, Mumps and Rubella"
A saluki is which type of animal?,Dog
"What disease was Robert the Bruce, King of Scotland, said to have died of in 1329?",Leprosy
‘Divine Wind’ is the English translation of which Japanese word?,Kamikaze
Which Flemish Baroque painter’s Antwerp home is now a museum?,Peter Paul Rubens
"In medicine, epiphora affects which part of the human body?",Eye
What nationality was 19th Century author Hans Christian Anderson?,Danish
Umberto ll was the last king of which European country?,Italy
Which US singing duo started out under the names Caesar and Cleo?,Sonny and Cher
"Fidel Castro, former President of Cuba, ordered which board game to be destroyed when he took power?",Monopoly
Which creature features on the label of a Bacardi rum bottle?,Bat
"According to the Bible, who was the only apostle to witness the crucifixion of Jesus?",John
"Who played the role of Caligula in the 1976 UK tv series ‘I, Claudius’?",John Hurt
What colour is the cross on the national flag of Denmark?,White
Who wrote the 1963 novel ‘The Spy Who Came in From the Cold’?,John Le Carre
"Composite, Shield and Cinder Cone are all types of what?",Volcano
Mouldwarp is an old name for which creature?,Mole
What is the name of Humphrey Bogart’s character in the film ‘Casablanca’?,Rick Blaine
What is the US state capital of Louisiana?,Baton Rouge
What is the title of the 1996 Oscar-winning documentary about the Muhammad Ali and George Foreman 1974 ‘Rumble in the Jungle’ fight in Zaire?,When We Were Kings
The Battle of Vimy Ridge took place in which country during World War l?,France
What colour is ‘Mr Man’ Mr Strong’s hat?,Green
What are the first names of art duo Proesch and Passmore?,Gilbert and George
What was is the name of Penelope Pitstop’s car in the children’s tv cartoon series ‘Wacky Races’?,Compact Pussycat
The Wang River is in which Asian country?,Thailand
Which tennis player was known as the Rockhampton Rocket?,Rod Laver
The ports of Puck and Jastarnia are in which European country?,Poland
Which famous racehorse won Australia’s Melbourne Cup in 1930?,Phar Lap
Amr Shabana from Egypt is famous for playing which sport?,Squash
How many pounds are in a UK (long) ton?,2240
Cobweb is a fairy in which Shakespeare play?,A Midsummer Night’s Dream
Apimania is an obsession with which creatures?,Bees
"In 1216, English monarch King John was said to have lost the crown jewels while crossing which body of water?",The Wash
Which British playwright was killed with a hammer by his lover Keith Haliwell in 1967?,Joe Orton
What is the nickname of baseball star Jimmie Foxx?,Double X
The Free Officers Movement was composed of young junior army officers committed to unseating the monarchy of which African country?,Egypt
"In which year was the storming of the Bastille, which started the French Revolution?",1789
Who was the first poet to be buried at Poet’s Corner in London’s Westminster Abbey?,Geoffrey Chaucer
‘The Night of the Long Knives’ refers to which leader eliminating many of his political enemies?,Adolph Hitler
Hans Holbein the Younger was court painter to which English monarch?,Henry VIII
Who was the illustrator for most of Roald Dahl’s stories for children?,Quentin Blake
The 1958 film ‘Gigi’ was based on the novel by which French author?,Colette
‘Back to Bedlam’ was the debut album for which British singer?,James Blunt
Which US gangster was released from Alcatraz prison in November 1939?,Al Capone
The fictional characters William Dobbin and Rawdon Crawley appear in which novel?,Vanity Fair
Who does the commentary in the UK tv programme ‘Come Dine With Me’?,Dave Lamb
Hidrosis is the medical term for which bodily function?,Sweating
The town of Honiton in Devon is famous for producing what?,Lace
Which two colours make up the national flag of Greenland?,White and red
Which national team beat Hungary 4-2 to win the 1938 FIFA World Cup?,Italy
"Yellow-pine, Uinta and Lodgepole are all types of which animal?",Chipmunk
Who plays Daphne in the 2002 film ‘Scooby-Doo’?,Sarah Michelle Gellar
The Euro is divided into how many cents?,100
In the NATO phonetic alphabet which word represents the letter ‘C’?,Charlie
Which former RAF pilot wrote the novel ‘Airport’?,Arthur Hailey
A creance is the name of the long fine cord used in which sport?,Falconry
"In the UK tv series ‘Mr Bean’, what model car does Mr Bean drive?",Mini 1000
Rodolfo and Mimi are the main characters in which opera by Giacomo Puccini?,La Boheme
In which year did it become compulsory to wear seat belts in front seats of cars in the UK?,1983
Which country was invaded by Iraq in 1990?,Kuwait
The Oroville Dam is in which US state?,California
What was the name of the Prime Minister of Egypt who was assassinated in 1910?,Boutros Ghali
The OK Corral is in which US town?,Tombstone
"In Greek mythology, Amphitrite, queen of the sea, was the wife of which god?",Poseidon
On which part of the body would a mukluk be worn?,Foot
Sandygate Road football and cricket stadium is in which English city?,Sheffield
How many hundredweight are in a UK ton?,20
"Smoky, Leaf-nosed and Vesper are all species of which creature?",Bat
‘Make Them Wait’ is rhyming slang for which Bingo number?,58
How many stars are on the national flag of Liberia?,One
What is the US state capital of Idaho?,Boise
"In the children’s tv cartoon series, who is Inspector Gadget’s arch enemy?",Dr Claw
Astrakhan is the curly hair of which young animal?,Lamb
Nguyen Tan Dung became Prime Minister of which country in June 2006?,Vietnam
Boll weevil cause damage to which crop?,Cotton
What type of creature is a Dog Face?,Butterfly
Which city hosted the 1992 Summer Olympic Games?,Barcelona
Steve Martin and which other actor hosted the 2010 Academy Awards?,Alec Baldwin
"Which British monarch founded the Yeomen of the Guard, originally as a royal bodyguard?",Henry VII
Which member of the British royal family married on the 29th April 2011?,Prince William
Which Italian fashion designer launched the first virtual online museum in December 2011?,Valentino
"In Greek mythology, who was the first wife of Aegeus?",Meta
Which breed of dog is Marley in the 2008 film ‘Marley and Me’?,Labrador Retriever
‘Giovedi’ is the Italian word for which day of the week?,Thursday
How many stars are on the national flag of New Zealand?,Four
Scatology is the scientific study of what?,Excrement
La Paz is the administrative capital of which South American country?,Bolivia
"In the game of Bingo, ‘Get up and run’ represents which number?",31
"In February 1938, Roberto M. Ortiz became President of which South American country?",Argentina
Which poet wrote ‘The Lake Isle of Innisfree’?,William Butler Yeats
In September 2006 the government of Prime Minister Thaksin Shinawatra was overthrown in which Asian country?,Thailand
Who wrote the 1930’s novel ‘Tender is the Night’?,F. Scott Fitzgerald
Maria Fitzherbert was ‘married’ to which British monarch?,George IV
Amarelo is Portuguese for which colour?,Yellow
"On a standard dartboard, which number lies opposite number 4?",16
Mount Chimborazo is in which South American country?,Ecuador
What is the basic monetary unit of Israel?,Shekel
In which European country is Lake Ree?,Ireland
Who wrote the poem ‘The Lady of the Lake’?,Sir Walter Scott
"Henry Blake, Charles Winchester and Father Mulcahy are all characters in which US tv series?",M*A*S*H
‘Obey your thirst’ is the advertising slogan for which soft drink?,Sprite
Selenology is the scientific study of which celestial body?,The moon
‘A crutch and a duck’ is the term for which bingo number?,72
