problem,answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
"What type of acid is extracted from the juice of lemons, oranges, limes, and grapefruit?",Citric acid,Acetic acid,Malic acid,Lactic acid
How many pieces are there in a standard set of dominoes?,28,24,32,36
What is the acronym for the agency which provides co-operation between police forces worldwide?,Interpol,Europol,Interpolt,CInterpol
"What were Benjy and Laska, which were sent into space in 1958?",Mice,Monkeys,Rats,Hamsters
In what year in the 20th century was the Miss World contest held for the first time?,1951,1949,1953,1955
In which year was the Encyclopedia Britannica first published?,1768,1750,1776,1805
"On the London Underground, which is the only line to connect at some point with every other line on the system?",The Jubilee Line,The Piccadilly Line,The Central Line,The District Line
Who wrote The Importance Of Being Earnest?,Oscar Wilde,George Bernard Shaw,Harold Pinter,T.S. Eliot
"Thomas Edison, who invented the lightbulb, was afraid of the dark?",True,False,Partially true,Uncertain
Taphephobia is the fear of losing your teeth?,False,True,Partially True,Uncertain
The letter t is the second most common letter used in the English language?,True,False,Maybe,Uncertain
"The invention of what in 1867, made Alfred Nobel famous?",Dynamite,Nitroglycerin,Gunpowder,TNT
What is the most populated city in America?,New York,Los Angeles,Chicago,Houston
What is the only letter of the alphabet which does not appear in any of the names of the 50 American states?,Q,X,Z,J
What was the Spice Girls' debut single called?,Wannabee,Spice Up Your Life,Too Much,Viva Forever
What are the only two musical notes which have no flats?,C and F,A and E,D and G,B and C#
"From which country do French fries originate? France, Belgium or Switzerland?",Switzerland,Germany,Italy,Spain
For what novel did J. K. Rowling win the 1999 Whitbread Children's book of the year award?,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone
What is the longest word can be typed using only the top row of letters on a typewriter?,Typewriter,Repopulate,Platter,Writerly
In which city would you find O'Hare International Airport?,Chicago,Los Angeles,Dallas,Miami
Which Asian country was once called Siam?,Thailand,Vietnam,Malaysia,Laos
What are the names of Donald Duck's three nephews?,"Huey, Dewey and Louie","Max, Jake and Timmy","Charlie, Benny and Freddie","Mickey, Donald and Goofy"
"In which 1993 film does a boy called Jonah write to a woman called Annie, asking her to meet his father at the Empire State building on St. Valentine's Day?",Sleepless In Seattle,You've Got Mail,When Harry Met Sally,Fools Rush In
Who had a top ten hit in 1988 with Valentine?,T'Pau,Bros,Tiffany,Expose
What is the second most common word in written English?,Of,And,The,To
"In which arcade game, would you find ghosts called Inky, Pinky, Blinky and Clyde?",Pac-Man,Donkey Kong,Galaga,Space Invaders
"More commonly known as the thigh bone, what is the medical name for the longest bone in the human body?",The Femur,Tibia,Fibula,Pelvis
"What word is used to describe someone who is neither left or right handed, but can use both hands with equal ease?",Ambidextrous,Bimanual,Ambilingual,Dextrous
"Which cult film, starring Harrison Ford, was based on the story Do Androids Dream of Electric Sheep?",Blade Runner,The Abyss,Total Recall,Minority Report
"Which ITV magazine style show ran from 1968 to 1980 and featured presenters including Jenny Hanley, Mick Robertson and Tommy Boyd?",Magpie,Blue Peter,Saturday Superstore,This Morning
Which type of animal was Robin Hood in the Disney cartoon film 'Robin Hood'?,Fox,Wolf,Bear,Rabbit
Who provided the voice for Bob The Builder on his number one hit Can We Fix It?,Neil Morrissey,James Corden,David Walliams,Matt Lucas
Which actor received 4 million dollars for his 10 minutes on screen in the film Superman?,Marlon Brando,Gene Hackman,Kevin Spacey,Russell Crowe
"Who directed the films Thelma and Louise, Hannibal and Black Hawk Down?",Ridley Scott,David Fincher,Ron Howard,Tony Scott
"Which serial killer is the subject of the films A Study In Terror, Murder By Decree and From Hell?",Jack The Ripper,H.H. Holmes,Ed Gein,Albert Fish
"In cricket, what is the score of 111 known as?",Nelson,Century,Double Ton,Hat Trick
"Who wrote the novels About A Boy, How To Be Good and High Fidelity?",Nick Hornby,David Nicholls,Zadie Smith,Julian Barnes
"With which game would you use a squidger, a circular disc between 25mm and 51 mm?",Tiddlywinks,Croquet,Shuffleboard,Air Hockey
The melody for which famous song was written by sisters and school teachers Patty and Mildred Hill in Kentucky in 1893?,Happy Birthday,This Old Man,"Twinkle, Twinkle, Little Star",Mary Had a Little Lamb
What is the most common pub name in the UK?,The Red Lion,The Crown,The White Horse,The Black Swan
What is the name of Kevin the teenager's friend played by Kathy Burke in a series of sketches with Harry Enfield?,Perry,Gary,Terry,Larry
"What seven letter word, beginning with the letters 'Ra' is a palindrome?",Racecar,Raveler,Radular,Rankear
Which fruit can go in the middle of the word aped to make a new word?,Pear,Plum,Grape,Mango
How many scottish football league teams names end in United?,3,2,4,5
Who had a top ten hit in the UK with Cupid in 1961?,Sam Cooke,The Everly Brothers,Ray Charles,Otis Redding
The theme tune to which TV show starts with the line Stick a pony in me pocket?,Only Fools And Horses,Fawlty Towers,Dad's Army,The Office
What word is given to a point in tennis which has to be replayed?,Let,Fault,Deuce,Game Point
How many episodes of Prisoner: Cell Block H were made?,692,650,700,750
Who is the last English-born player to win the men's singles title at Wimbledon?,Fred Perry,Boris Becker,Andy Murray,John McEnroe
"Which famous painter's surname was Harmenzoon van Rijn which translated as son of Harmen, of the Rhine?",Rembrandt,Vermeer,Van Gogh,Titian
"In 1976, which gymnast scored 7 maximum scores of 10 as she won three gold medals, one silver and one bronze?",Nadia Comaneci,Mary Lou Retton,Olga Korbut,Simone Biles
"In years and days, how old was Luigina Giavotti when she won a silver medal in gymnastics in 1928, and is still the youngest medal winner today?",11 years and 302 days,10 years and 150 days,12 years and 45 days,9 years and 220 days
Which Eastenders actor has played the policeman Nick Rowan on TV?,Nick Berry,Shane Richie,Scott Maslen,Danny Dyer
"What type of animal was Boris, the subject of a song by The Who?",Spider,Frog,Lizard,Crab
Which brand of beer does Homer Simpson drink regularly?,Duff,Buzz Beer,Heisler Beer,Tsingtao
From which animal does Haggis come?,Sheep,Goat,Pork,Cow
"In which country was Marie Curie born? Poland, Austria or Switzerland?",Poland,Austria,Switzerland,Germany
"What is the most common blood type in humans? A, B or O?",O,A,B,AB
Which P is the correct technical term for the art of making and displaying fireworks?,Pyrotechnics,Pirotechnia,Pirotecnics,Pyralysis
Which King did Guy Fawkes attempt to kill with his gunpowder plot?,James I,Charles I,Henry VIII,Edward VI
In which film was the song White Christmas first sung?,Holiday Inn,It's a Wonderful Life,Meet Me in St. Louis,White Christmas
Which Pop Idol had a number one hit in 2004 called All This Time?,Michelle McManus,Will Young,Leona Lewis,Alexandra Burke
"Which Channel 4 TV show's presenters included Mark Lamarr, Amanda De Cadenet and Terry Christian?",The Word,Big Breakfast,Eurotrash,Twice as Funny
What is the name of the device made of wood and horsehair that is used to play a violin?,Bow,Plectrum,Stick,Resonator
What colour is the bottom stripe on the U.S. flag?,Red,White,Blue,Green
What is the name given to the largest bee in a hive?,Queen,Worker,Drone,Nurse
Who won the Ladies singles title at Wimbledon in 2004?,Maria Sharapova,Serena Williams,Lindsay Davenport,Justine Henin
What is the alcoholic ingredient of Irish coffee?,Whiskey,Rum,Vodka,Gin
In which year did St George die?,303,290,319,350
What are the names of the Four Horseman of the Apocalypse?,"War, Famine, Pestilence and Death","Conquest, Plague, Hunger and Despair","Violence, Starvation, Disease and Darkness","Conflict, Scarcity, Illness and Silence"
Who is the Vice-President for George W Bush?,Dick Cheyney,Condoleezza Rice,Donald Rumsfeld,Colin Powell
"Which film sees Clint Eastwood, Tommy Lee Jones, James Garner and Donald Sutherland as retired astronauts?",Space Cowboys,Galaxy Explorers,Stellar Veterans,Astronauts of Destiny
"In a standard deck of cards, how many Kings have a moustache?",Three,One,Two,Four
"According to the film Gremlins, if you are looking after a Gremlin you should not feed him after midnight, not get him wet and not expose him to what?",Bright Light,Extreme Cold,Loud Noises,Strong Odors
The Canary Islands are named after what animal?,Dog,Cat,Bird,Fish
In which capital city would you find Charles Bridge and Wenceslas Square?,Prague,Vienna,Budapest,Warsaw
What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,Bowie,Jagger,Richards,Pallenberg
What is the final event in a decathlon?,1500 metres,110 metre hurdles,Shot put,Discus throw
"Peter Simple, Jack Horner and Ben Nevis have all won which famous sporting event?",The Grand National,The Melbourne Cup,The Epsom Derby,The Kentucky Derby
What is the largest city in Turkey?,Istanbul,Ankara,Izmir,Antalya
Who bought Chelsea football club for £1 in 1982?,Ken Bates,Roman Abramovich,Matthew Harding,Peter Kenyon
"In 1998, which director's Oscar acceptance speech included the line I'm king of the world?",James Cameron,Steven Spielberg,Martin Scorsese,Ridley Scott
What nationality was the painter Vincent Van Gogh?,Dutch,French,Belgian,German
Which film features the characters Sally Albright and Harry Burns?,When Harry Met Sally,Sleepless in Seattle,You've Got Mail,Annie Hall
Which act won the Eurovision Song Contest for the United Kingdom singing Love Shine A Light?,Katrina And The Waves,Bardo,Scooch,Samantha Janus
Which English word comes from an old French word meaning sour wine?,Vinegar,Ample,Chandon,Raisin
"Which team beat American Samoa 31-0 in a qualifying match for the 2002 World Cup, but still failed to qualify?",Australia,New Zealand,Fiji,Tonga
What was the name of Roland Rat's gerbil friend?,Kevin,Eric,Garry,Simon
Which animal has the longest gestation period at around 22 months?,The elephant,The camel,The giraffe,The blue whale
What name is given to the home of a beaver?,Lodge,Den,Burrow,Nest
What name is given to a baby marsupial?,Joey,Pouchling,Kangaroolet,Wombatling
Who dated actress Elizabeth Hurley between 2000 and 2001 and denied he was the father of her son born in 2002 before a DNA test proved otherwise?,Stephen Bing,Hugh Grant,David Beckham,Matthew McConaughey
What type of animal is the star of the 2005 film Racing Stripes?,Zebra,Horse,Donkey,Pony
Author Dick Francis is famous for writing novels based around which sport?,Horseracing,Golf,Tennis,Football
Which Scottish newspaper features the Broons and Oor Wullie?,The Sunday Post,The Scotsman,The Herald,The Daily Record
Which famous book features the character of Bob Cratchit?,A Christmas Carol,Oliver Twist,Great Expectations,David Copperfield
Which act has had more Christmas number one singles than any other?,The Beatles,Elton John,Queen,Mariah Carey
Which Christmas song includes the line It seems so long since I could say 'sister Susie sitting on a thistle'?,All I Want for Christmas Is My Two Front Teeth,Jingle Bells,Frosty the Snowman,O Holy Night
Which British footballer has the most number of International caps?,Peter Shilton,David Beckham,Gareth Southgate,Wayne Rooney
Who holds a trumpet on the album cover of Sgt. Pepper's Lonely Hearts Club Band by The Beatles?,Ringo Starr,Paul McCartney,George Harrison,John Lennon
Which song begins with the line The taxman's taken all my dough?,Sunny Afternoon,A Whiter Shade of Pale,For No One,Here Comes the Sun
The Kray twins were convicted of the murder of George Cornell in the East End of London in 1966. What was the name of the pub in which he was shot?,The Blind Beggar,The Rotherhithe,The Golden Lion,The Cockney Rebel
Who composed the musical theme for the Pink Panther?,Henry Mancini,John Williams,Elmer Bernstein,Lalo Schifrin
"Who was the cartoon adversary of Pixie and Dixie, who would often say I hate those meeces to pieces?",Mr Jinx,Tom Cat,Foghorn Leghorn,Porky Pig
Which actress married Dennis Quaid on Valentine's Day in 1991?,Meg Ryan,Julia Roberts,Jennifer Aniston,Sandra Bullock
"During Margaret Thatcher's years as Prime Minister, there were three Chancellors of the Exchequer. Geoffrey Howe and Nigel Lawson were two, but who was the other one?",John Major,Keith Joseph,Norman Lamont,Patrick Jenkin
Buddy Holly and the Big Bopper were two of the three musicians who died in a plane crash in February 1959. Who was the other one?,Richie Valens,Gene Vincent,Chuck Berry,Big Mama Thornton
"Fruit, cricket and horseshoe are varieties of what type of animal?",Bat,Dolphin,Falcon,Whale
"Apart from being warm blooded and giving birth to live young, what do mammals produce to differentiate them from other families of animals?",Milk,Eggs,Honey,Feathers
To which poet does Il Postino deliver mail?,Pablo Neruda,Gabriela Mistral,Jorge Luis Borges,Nicolás Guillén
"Which scientist was Time magazine's ""Person of the 20th Century""?",Albert Einstein,Richard Feynman,Marie Curie,Niels Bohr
What was the nickname given to premiership footballer Neil Ruddock?,Razor,Hammer,Blade,Iron
The Ducati is manufactured in which city and what country?,"Bologna, Italy","Milan, Italy","Rome, Italy","Turin, Italy"
Wayne Rooney signed for Manchester United from which other Premiership Club?,Everton,Liverpool,Aston Villa,Newcastle United
The Yalu river forms a sort of natural border between China and which of its neighbours?,North Korea,Mongolia,Russia,South Korea
Which stand-up comedian presents 8 Out Of 10 Cats and Distraction?,Jimmy Carr,Ricky Gervais,Michael McIntyre,Sean Lock
"Name the game show, presented by Leslie Grantham and Melinda Messenger, where contestants were set physical and mental challenges?",Fort Boyard,Crystal Maze,Survivor,Wipeout
Who presented Family Fortunes in the two years between Bob Monkhouse and Les Dennis?,Max Bygraves,David Frost,Jim Davidson,Michael Barrymore
For what did Einstien gat Nobel prize in Physics?,The photoelectric effect,Theory of Relativity,Quantum Mechanics,Brownian Motion
Which planet has moons named after Shakespearean characters?,Uranus,Neptune,Saturn,Mars
"Who was part man, part machine, all cop and hailed from a futuristic Detroit?",Robocop,Cyrax,Robo-Samurai,Metal Hawk
Who dubbed Miss Piggy's singing voice in The Muppet Movie?,Johnny Mathis,Elton John,James Taylor,Barry Manilow
"Who wrote the Bourne trilogy of books, made into movies starring Matt Damon?",Robert Ludlum,John Grisham,Michael Connelly,Dan Brown
"The Bible tells of 3 wise men visiting Jesus after his birth, but in which of the Gospels does this appear?",Matthew,Mark,Luke,John
"Athos and Porthos are two of the 3 musketeers, name the other one.",Aramis,D'Artagnan,Athos,Porthos
What is the name of the small fifth claw called on the side of a dog's foot ?,The dewclaw,The pinky claw,The side claw,The pivot claw
What is the name of the plastic bit on the end of shoelaces?,An aglet,A shoetip,A lace cap,A cord end
The river Danube flows into which sea?,Black Sea,Adriatic Sea,Aegean Sea,Mediterranean Sea
Anna Nicole Smith was controversially married to which oil billionaire?,J Howard Marshall,T Boone Pickens,George Mitchell,Marion Barber III
Wayne Rooney scored his first senior goal against which club?,Arsenal,Manchester City,Liverpool,Chelsea
How meny times have Liverpool won the Europion Cup?,5,3,7,4
The Sign Of Four was a detective story written by which author?,Sir Arthur Conan Doyle,Agatha Christie,Edgar Allan Poe,Wilkie Collins
Who was the author of 'The Old Curiosity Shop'?,Charles Dickens,George Eliot,Thomas Hardy,Wilkie Collins
In which sport or pastime can you see nose walking?,Surfing,Skateboarding,Bungee Jumping,Rock Climbing
What sport or pastime would you be playing if your balls were black and blue and your opponent's were red and yellow?,Croquet,Tennis,Badminton,Billiards
The age of the railway began in which year with the introduction of the Liverpool-Manchester line?,1830,1825,1835,1840
Who played Frankenstein in the 1994 film of the same name?,Kenneth Branagh,Robert De Niro,Johnny Depp,Daniel Day-Lewis
Who was the first person to sell one million records?,Enrico Caruso,Bing Crosby,Frank Sinatra,Elvis Presley
"In Greek mythology, where do righteous souls go after death?",Elysian Fields,Tartarus,Asphodel Meadows,The Underworld
What is the scientific name given to tea?,Camellia Sinensis,Camellia Japonica,Cinnamomum Verum,Ilex Guayusa
"In the 1999 film Stuart Little, who plays the part of Mrs Eleanor Little?",Geena Davis,Julia Roberts,Sandra Bullock,Nicole Kidman
Suger Mice was a 1987 single for which British rock band?,Marillion,Genesis,Duran Duran,The Cure
In which decade were ZIP codes introduced in the USA?,1960s,1950s,1970s,1980s
What are the shape-shifting foxes of the Japanese folklore?,Kitsune,Tanuki,Shika,Kappa
In Greek mythology who was the twin of Polydeuces?,Castor,Hercules,Theseus,Achilles
Which film features the Dawes Tomes Mousley Grubbs Fidelity Fiduciary Bank?,Mary Poppins,Chitty Chitty Bang Bang,Bedknobs and Broomsticks,Pete's Dragon
What is Robin Williams character called in Good Morning Vietnam?,Adrian,David,Michael,George
Who plays Cruella de Vil in the 1996 live action version of 101 Dalmations?,Glenn Close,Nicole Kidman,Meryl Streep,Julia Roberts
Who stars in the 2008 movie Seven Pounds?,Will Smith,Matthew McConaughey,Denzel Washington,Jamie Foxx
Marilyn Monroe starred in the Seven Year Itch. Who directed it?,Billy Wilder,Howard Hawks,George Cukor,Otto Preminger
On Red Nose Day 2001 who won Celebrity Big Brother?,Jack Dee,Paddy McGuinness,David Walliams,Alan Carr
What is the name of the London Underground station in EastEnders?,Walford East,Walford West,Walford South,Walford North
How many runs did Donald Bradman score in his last ever test match innings?,,70,45,55
"Nicknamed the cannibal, who is the only rider to have won all three jerseys in the same year in the Tour de France?",Eddy Merckx,Bernard Hinault,Jacques Anquetil,Chris Froome
Whose arch nemisis is the Red Skull?,Captain America's,Iron Man's,Thor's,Hawkeye's
By what name is comic book villain Oswald Chesterfield Cobblepot better known?,The Penguin,The Riddler,The Joker,Two-Face
"First appearing on TV in 1967, which detective solved all of his crimes sitting down?",Ironside,Columbo,Poirot,Sherlock Holmes
How many times was Wyatt Earp shot?,,1 time,3 times,5 times
Which famous cowboy was created by George W. Trendle?,The Lone Ranger,Hopalong Cassidy,Wild Bill Hickok,Tom Mix
"The pub with the longest name in the UK has how many letters in it? 55, 75 or 95?",55,75,85,65
Which movie starred Michael Caine as a murderous transvestite psychiatrist?,Dressed To Kill,The Talented Mr. Ripley,Fight Club,Psycho
"In 1961, who famously scored six goals in a match but still ended up on the losing team in a FA Cup tie?",Denis Law,Jimmy Greaves,Geoff Hurst,Bobby Charlton
Which economist wrote The Wealth Of Nations?,Adam Smith,David Ricardo,John Maynard Keynes,Thomas Malthus
Macbeth belonged to which royal house or dynasty?,House of Dunkeld,House of Stuart,House of Plantagenet,House of Lancaster
"Was James II known as: James The Bald, Fiery Face, or The Red King?",Fiery Face,James The Bald,The Red King,James The Fiery
"In Harry Potter And The Goblet Of Fire, which dragon did Harry have to defeat?",Hungarian Horntail,Norwegian Ridgeback,Chinese Fireball,Veela Dragon
What is the full name of the train robber played by Phil Collins in a 1988 movie?,Buster Edwards,Charlie Wilson,Sammy Jones,Frankie McBride
Tony Hadley was the lead singer with which 1980s new romantic band?,Spandau Ballet,Duran Duran,Culture Club,ABC
What was the surname of the butler played by Gordon Jackson in Upstairs Downstairs?,Hudson,Smith,Benson,Jones
Which Jackson appeared in Celebrity Big Brother in January 2009?,La Toya Jackson,Janet Jackson,Rebbie Jackson,Tito Jackson
Who was the seventh president of the United States?,Andrew Jackson,Martin Van Buren,John Tyler,James Buchanan
"In which country are the Angel Falls, the highest waterfall in the world?",Venezuela,Brazil,Argentina,Colombia
"The 1955 comedy movie We're No Angels centred on three escaped convicts. Peter Ustinov and Aldo Ray were two, but who played the third?",Humphrey Bogart,James Cagney,Marlon Brando,Gary Cooper
Who played King Arthur in the 1967 musical film Camelot?,Richard Harris,Richard Burton,Yul Brynner,Sean Connery
Which country grows the largest number of mangoes?,India,Pakistan,Brazil,Mexico
Ecuador has a border with Peru and which other country ?,Colombia,Brazil,Chile,Argentina
"In 2009, who was convicted of the murder of Lana Clarkson?",Phil Spector,Suge Knight,Robert Blake,O.J. Simpson
"The left side of the heart pumps blood to all parts of the body, but the right side pumps blood to which organ in particular?",The lungs,The kidneys,The liver,The stomach
Which cartoon character lives in a pineapple under the sea?,SpongeBob SquarePants,Patrick Star,Squilliam Fancyson,Mr. Krabs
"Which serial killer hanged himself in Wakefield Prison in January 2004, four years after being found guilty of 15 murders?",Dr Harold Shipman,Ian Huntley,Freddie Mills,Peter Sutcliffe
What public school did the Duke of Edinburgh and Prince Charles attend?,Gordonston,Eton College,Harrow School,Westminster School
"If it was Phil Mickelson in 2006, Zach Johnson in 2007, and Trevor Immelman in 2008, who was it in 2009?",Angel Cabrera,Jim Furyk,Mike Weir,Padraig Harrington
Red Stripe lager comes from which country?,Jamaica,Cuba,Dominican Republic,Trinidad and Tobago
Which architect was known as the Wizard of the Dome?,Buckminster Fuller,Frank Lloyd Wright,Le Corbusier,Louis Kahn
What is the name of the Salvador Dali painting that shows clocks oozing over a landscape?,The Persistence Of Memory,The Melting Time,The Drifting Hours,The Fluidity of Time
In what year did Edward Vlll abdicate?,1936,1935,1937,1938
Which well known couple live at Bagshot Park in Surrey?,The Earl and Countess of Wessex,The Duke and Duchess of Cambridge,The Earl and Countess of Sussex,The Viscount and Viscountess of Bath
Which notorious murderer lived at 10 Rillington Place?,John Christie,Harold Shipman,Peter Sutcliffe,Jack the Ripper
Who killed Lee harvey Oswald?,Jack Ruby,James Earl Ray,Sirhan Sirhan,John Wilkes Booth
Who killed Robert F Kennedy?,Sirhan Sirhan,Lee Harvey Oswald,James Earl Ray,John Wilkes Booth
Who killed Jean Paul Marat?,Charlotte Corday,Maximilien Robespierre,Georges Danton,Camille Desmoulins
What was the name of the kangaroo often mistaken by Sylvester the cat to be a giant mouse?,Hippety Hopper,Jumper Jojo,Bouncy Mike,Kangaroo Jack
Gjetost is the national cheese of which country?,Norway,Sweden,Denmark,Finland
A youngberry is a cross between a dewberry and what else?,A blackberry,A raspberry,A strawberry,A boysenberry
Who is Arthur Wellesley better known as?,Duke of Wellington,Duke of Marlborough,Earl of Sandwich,Marquess of Granby
Which town in East Sussex now stands on the site of the battle of Hastings?,Battle,Hastings,Bexhill,Eastbourne
"Which 1986 Peter Weir movie and based on a Paul Theroux novel starred Harrison Ford, Helen Mirren and River Phoenix?",The Mosquito Coast,The Last Crusade,Witness,The Fugitive
What is the name of CS Lewis' 7 book fantasy?,The Chronicles of Narnia,The Dark Tower,The Earthsea Cycle,The Hobbit Saga
Name the tv series about FBI agent Don Eppes and his mathematical genius brother Charlie,Numb3rs,Math Mysteries,Criminal Minds,Calculated Risk
All children except one grow up.,Peter Pan,Wendy Darling,Michael Darling,John Darling
"Scarlett O'Hara was not beautiful, but men seldom realised it when caught by her charm as the Tarleton twins were",Gone with the wind,The Great Gatsby,Pride and Prejudice,To Kill a Mockingbird
Which horse racing jockey was sometimes referred to as the long fellow?,Lester Piggott,Frankie Dettori,Ryan Moore,John Reid
Who is the patron saint of lost causes?,St Jude,St. Anthony,St. Christopher,St. Sebastian
True or False: Sharks do not blink?,True,False,Partially True,Sometimes True
Which `B` was the name of the mechanical shark used in the original `Jaws` film?,Bruce,Benny,Baxter,Bubbles
"The American legal drama Shark ran from Sept 06 to May 08. Who starred in the title role, playing Sebastian Stark?",James Woods,David Schwimmer,Kelsey Grammer,Jon Cryer
Which Italian fashion designer was shot dead on the steps of his Miami mansion in 1997?,Gianni Versace,Giorgio Armani,Dolce & Gabbana,Valentino Garavani
Who was famous for popularising the 'little black dress' in the 1920s?,Coco Chanel,Gabrielle Bonheur,Elsa Schiaparelli,Marianne Fashion
Who designed Madonna's wedding dress for her marriage to Guy Ritchie?,Stella McCartney,Giorgio Armani,John Galliano,Vera Wang
"Meryl Streep's character, Miranda, in the 2006 film The Devil Wears Prada was based on the editor-in-chief of which fashion magazine?",Vogue,Elle,Harper's Bazaar,W Magazine
"In the TV show Camberwick Green, who lived in Colly's Mill?",Windy Miller,Pippin Post,Mr. McGrew,Dilly Dale
Which part of the human body produces insulin?,The pancreas,The liver,The kidneys,The spleen
Who played Dr. Doug Ross on the TV show E.R.?,George Clooney,Eriq La Salle,Anthony Edwards,Noah Wyle
Who played the role of Kate Flax in the 1990 film Mermaids?,Christina Ricci,Winona Ryder,Drew Barrymore,Natalie Portman
Who played the character Mrs. Merton on TV?,Caroline Aherne,Jo Brand,Ruth Jones,Sarah Millican
What nationality was three time Olympic gold medallist in figure skating Sonja Henie?,Norwegian,Swedish,Finnish,Danish
At which Winter Olympic host city would you find the Cresta Run?,St. Moritz,Garmisch-Partenkirchen,Innsbruck,Lake Placid
What kind of an animal is a wireworm?,A Beetle,A Caterpillar,A Fly,A Moth
What are the flat treeless plains of Argentina called?,The Pampas,The Andes,Las Llanuras,El Gran Chaco
Which Canadian born  actress was the star in the movie Barb Wire?,Pamela Anderson,Rachel McAdams,Catherine O'Hara,Tatiana Maslany
"Which 2004 ""puppet"" movie, made by the makers of South Park, satirises Americas politics and jingoism?",Team America: World Police.,Avenue Q,The Happytime Murders,Puppet Master: The Littlest Reich
"Which river originates in the Taurus Mountains, and flows through Syria and Iraq?",Euphrates,Tigris,Orontes,Khabur
"Following success at the 1979 election whose party conference speeech included the lines 'you turn if you want to, the lady's not for turning'?",Margaret Thatcher,Tony Blair,John Major,David Cameron
"In the run up to the 1997 election, Tony Blair outlined his parties' three priorities for office, can you name them?","Education, Education, Education","Health, Health, Health","Economy, Economy, Economy","Crime, Crime, Crime"
Which snooker player was simply known as 'The Grinder'?,Cliff Thorburn,Ronnie O'Sullivan,Steve Davis,Mark Selby
Which former West Indian fast bowler was known as 'Whispering Death'?,Michael Holding,Curtly Ambrose,Malcolm Marshall,Courtney Walsh
Which Eastenders character had a dog called Willy?,Ethel Skinner,Dot Cotton,Pat Butcher,Mo Harris
In which year did the first episode of Minder take place?,1979,1980,1978,1981
What was the name of the cat in Rising Damp?,Vienna,Tigger,Muffin,Whiskers
"Which comedy written by Johnny Speight which first aired in 1965, featured a fervent West Ham supporter?",Till Death Us Do Part,The Likely Lads,Fawlty Towers,On the Buses
"What was the name of the comedy written by Ray Galton, Alan Simpson which aired 57 episodes?",Steptoe and Son,The Likely Lads,Hyde and Seek,The Fall and Rise of Reginald Perrin
Bonar Law is the only Prime Minister not born in the UK. In which country was he born?,Canada,Australia,Ireland,New Zealand
Who lives in the Hundred Acre Wood?,Winnie-the-Pooh,Christopher Robin,Tigger,Eeyore
"If you heard the catchphrase ""They're great"" what would expect to be advertised?",Frosties,Cheerios,Corn Flakes,Cap'n Crunch
How many times was Boris Becker runner-up in the Men's Singles at Wimbledon?,4,3,5,2
How many times did Steffi Graf win the Ladies Singles at Wimbledon?,7,5,6,8
"In which postcode area are the Wimbledon Championships held? SW15, SW17 or SW19?",SW19,SW15,SW14,SW13
Who did Top of the Pops mistakenly portray in a Dexys Midnight Runners song?,Jocky Wilson,Bobby Moore,Eric Clapton,Brian Clough
What story introduced the Cybermen?,The Tenth Planet,The Invasion,Tomb of the Cybermen,Earthshock
Who played the tenth Doctor?,David Tennant,Matt Smith,Christopher Eccleston,Peter Capaldi
"How many Rings of Power were there, in total?",20,16,22,18
Which common colour can also be known as heliotrope?,Purple,Lavender,Magenta,Violet
Which golf shot is the opposite of a slice?,Hook,Fade,Shank,Topspin
Which actress left Eastenders for Hollywood only to flop as The Bionic Woman?,Michelle Ryan,Jessica Fox,Louise Delamere,Samantha Janus
"In Only Fools And Horses, Rodney Trotter shares his middle name with which London football club?",Charlton,Chelsea,West Ham,Tottenham
"How were Dr Stantz, Dr Spengler and Dr Venkman better known in the 1980's?",Ghostbusters,Spectral Investigators,Phantom Hunters,Ecto-Explorers
General Charles de Gaulle was French President 1959 to 1969. Who succeeded him?,Georges Pompidou,Valéry Giscard d'Estaing,Jacques Chirac,François Mitterrand
"When Mr Benn was looking for an adventure, what type of shop did he visit?",A fancy dress shop,A toy store,A bakery,An antique shop
"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?",Rennet.,Pepsin,Lactase,Chymosin
Which cheese shares its name with a Guiness Premiership rugby team that play at Welford Road?,Leicester.,Newcastle,Bath,Sale
Where in London were the first escalators installed in 1898?,Harrods,Selfridges,The British Museum,London Victoria Station
"In what year was the first episode of Doctor Who broadcast? 1959, 1963 or 1967?",1963,1960,1965,1970
What is the name of the company that owned the spaceship Red Dwarf?,The Jupiter Mining Corporation,The Galactic Mining Syndicate,AstroCorp Ventures,Interstellar Resource Management
"Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, David Hedison, John Terry, David Hedison and Jeffrey Wright?",A) Felix Leiter,James Bond,Q,Moneypenny
Name the magician who first introduced us to Basil Brush.,David Nixon,John McCririck,Paul Daniels,Derek Ogilvy
Who was the only Prime Minister of Britain to be assassinated?,Spencer Percival,David Lloyd George,Harold Wilson,Anthony Eden
What is the name of the chain of islands in the southwestern Philippines?,The Sulu Archipelago,The Visayan Islands,The Mindanao Archipelago,The Palawan Chain
What was the name of the ferry that capsized after leaving Zeebrugge in 1987,The Herald of free Enterprise,The Sea Breeze,The Ocean Voyager,The Spirit of Zeebrugge
